horizon,mae,rmse,mape,r2
1_day,1799.4109778853137,2940.413840552931,4.622925513488205,0.9914909986384008
1_week,2886.0867747979564,4696.213292106687,6.9781479744442265,0.9782951242833934
1_month,3342.692226034014,5648.742646561872,7.994069684959458,0.9685974255083407
