,0
origin_demand,0.9111058631426299
origin_demand_lag168,0.06412179459479249
apparent_temp_F,0.009628313903222475
temperature_F,0.0036946767289187154
doy_cos,0.002428701516258719
origin_roll168_mean,0.002108684722885037
region_PJM,0.0010217400822407944
doy_sin,0.0007309258934964193
region_MISO,0.0007178413329675337
origin_roll24_mean,0.0006299349883269477
hour_cos,0.0006229031665904496
origin_demand_lag24,0.0004249534433339756
region_ERCO,0.0004211161994263826
hour_sin,0.0003386414536739868
humidity_pct,0.00033859749142319895
origin_roll24_std,0.0003186046162681927
month,0.00023643948582169423
dow_sin,0.0002228327784552634
region_BPAT,0.00020934650277857795
wind_speed_kmh,0.00019943725993969228
region_SWPP,0.00012477871351418375
region_CISO,0.0001040656781868027
dow_cos,8.49266139178362e-05
is_weekend,8.3808656189484e-05
region_NYIS,3.13594768659484e-05
precipitation_mm,2.787215445582859e-05
region_ISNE,2.0128112312928107e-05
is_holiday,1.7112911067086495e-06
