,0
origin_roll168_mean,0.8463632966707572
region_PJM,0.06228532354032025
apparent_temp_F,0.0195477756253877
origin_demand,0.01226752750834202
temperature_F,0.01069471980713608
region_MISO,0.008618799759925374
region_ERCO,0.00782220669855685
doy_cos,0.007719991652662904
origin_demand_lag24,0.0057907931871262535
region_SWPP,0.0039934947432332
origin_demand_lag168,0.0037631727099709587
hour_cos,0.003335540813724241
hour_sin,0.002872129914640443
doy_sin,0.0010753200543482668
dow_sin,0.0009582524840953292
is_weekend,0.0006470393617157399
origin_roll24_mean,0.0004584600809816433
region_NYIS,0.0004519621351583781
region_ISNE,0.00029729713891802007
humidity_pct,0.00028851687816279856
origin_roll24_std,0.00021901266325056792
month,0.00014936600031829067
wind_speed_kmh,0.00014628138027406325
dow_cos,0.00011170312053939746
region_BPAT,5.995814602749334e-05
region_CISO,2.87791594596731e-05
precipitation_mm,1.88259634814379e-05
is_holiday,1.4452801485314135e-05
